Image number,Square,Radius,Circumference,Alcohol concentration
3575,2029794.93,803.81,5711.09,0.0
3576,2030019.54,803.85,5711.09,0.0
3577,2029839.85,803.81,5711.09,0.0
3588,2159778.53,829.14,5699.99,0.0
3589,2159980.68,829.18,5699.99,0.0
3600,2080355.34,813.76,5505.14,0.0
3601,2080130.72,813.71,5505.14,0.0
3602,2080108.26,813.71,5505.14,0.0
3603,2077278.14,813.15,5505.82,0.0
3614,2218795.62,840.4,6038.05,0.0
3615,2002392.13,798.36,5359.31,0.0
3616,2002571.82,798.4,5359.31,0.0
3617,2002504.44,798.38,5359.31,0.0
3628,2031749.06,804.19,5420.79,0.0
3629,2031591.83,804.16,5420.79,0.0
3748,2133700.95,824.12,5699.59,0.0
3749,2133700.95,824.12,5699.59,0.0
3760,2399968.55,874.03,6340.41,0.0
3761,2400170.71,874.07,6340.41,0.0
3763,1959333.8,789.73,5429.2,0.0
3774,2204184.54,837.62,5771.78,0.0
3775,2033467.35,804.53,5501.69,0.0
3777,2033579.66,804.55,5501.69,0.0
378,930347.48,544.19,5714.71,0.0
3788,1933638.06,784.54,5293.52,0.0
379,930369.94,544.19,5714.71,0.0
3818,2065328.72,810.81,5515.85,0.0
3819,2065003.03,810.75,5513.08,0.0
3824,2201096.11,837.04,5923.52,0.0
3825,2015195.08,800.91,5540.25,0.0
3826,2015037.85,800.88,5536.32,0.0
3827,2015161.38,800.9,5539.1,0.0
3830,1997461.87,797.38,5362.65,0.0
3831,1997282.18,797.34,5362.65,0.0
3832,1997169.87,797.32,5362.65,0.0
3833,2029491.7,803.75,5978.88,0.0
384,779823.0,498.22,5059.69,0.0
385,755654.63,490.44,4984.26,0.0
386,756620.47,490.75,4984.26,0.0
387,756553.09,490.73,4984.26,0.0
390,804901.06,506.17,5211.55,0.0
391,804811.21,506.14,5211.55,0.0
392,804945.98,506.18,5211.55,0.0
393,767940.97,494.41,5580.18,0.0
3944,1576031.54,708.28,5056.32,0.0
3946,1554154.22,703.35,5129.3,0.0
3947,1554412.52,703.41,5132.07,0.0
3950,1611475.48,716.2,5321.17,0.0
3952,1611812.4,716.28,5325.09,0.0
3953,1360324.34,658.03,7586.16,0.0
3978,1748399.63,746.01,5379.67,0.0
3984,1669268.44,728.93,5115.61,0.0
3985,1691797.13,733.84,5102.49,0.0
3987,1691808.36,733.84,5105.26,0.0
3990,1700961.34,735.82,5255.1,0.0
3991,1701096.11,735.85,5255.1,0.0
